T/1	SERVOIX/3			SERVOSPEED/3			
664	1	0	0	0.00	0.75	0.00	
665	1	0	0	0.00	0.75	0.00	
666	1	0	0	0.00	0.75	0.00	
667	1	0	0	0.00	0.75	0.00	
668	1	0	0	0.00	0.75	0.00	
669	1	0	0	0.00	0.75	0.00	
670	1	0	0	0.00	0.75	0.00	
671	1	0	0	0.00	0.75	0.00	
672	1	0	0	0.00	1.00	0.00	
673	1	0	0	0.00	1.00	0.00	
674	1	0	0	0.00	1.00	0.00	
675	1	0	0	0.00	1.00	0.00	
676	1	0	0	0.00	1.00	0.00	
677	1	0	0	0.00	1.00	0.00	
678	1	0	0	0.00	1.00	0.00	
679	1	0	0	0.00	1.00	0.00	
680	1	0	0	0.00	1.00	0.00	
681	1	0	0	0.00	1.00	0.00	
682	1	0	0	0.00	0.00	0.25	
683	2	0	0	0.00	0.00	0.25	
684	2	0	0	0.00	0.00	0.25	
685	2	0	0	0.00	0.00	0.25	
686	2	0	0	0.00	0.00	0.25	
687	2	0	0	0.00	0.00	0.25	
688	2	0	0	0.00	0.00	0.25	
689	2	0	0	0.00	0.00	0.25	
690	2	0	0	0.00	0.00	0.25	
691	2	0	0	0.00	0.00	0.25	
692	2	0	0	0.00	0.00	0.50	
693	2	0	0	0.00	0.00	0.50	
694	2	0	0	0.00	0.00	0.50	
695	2	0	0	0.00	0.00	0.50	
696	2	0	0	0.00	0.00	0.50	
697	2	0	0	0.00	0.00	0.50	
698	2	0	0	0.00	0.00	0.50	
699	2	0	0	0.00	0.00	0.50	
700	2	0	0	0.00	0.00	0.50	
701	2	0	0	0.00	0.00	0.50	
702	2	0	0	0.00	0.00	0.75	
703	2	0	0	0.00	0.00	0.75	
704	2	0	0	0.00	0.00	0.75	
705	2	0	0	0.00	0.00	0.75	
706	2	0	0	0.00	0.00	0.75	
707	2	0	0	0.00	0.00	0.75	
708	2	0	0	0.00	0.00	0.75	
709	2	0	0	0.00	0.00	0.75	
710	2	0	0	0.00	0.00	0.75	
711	2	0	0	0.00	0.00	0.75	
712	2	0	0	0.00	0.00	1.00	
713	2	0	0	0.00	0.00	1.00	
714	2	0	0	0.00	0.00	1.00	
715	2	0	0	0.00	0.00	1.00	
716	2	0	0	0.00	0.00	1.00	
717	2	0	0	0.00	0.00	1.00	
718	2	0	0	0.00	0.00	1.00	
719	2	0	0	0.00	0.00	1.00	
720	2	0	0	0.00	0.00	1.00	
721	2	0	0	0.00	0.00	1.00	
722	2	0	0	0.25	0.00	0.00	
723	0	0	0	0.25	0.00	0.00	
724	0	0	0	0.25	0.00	0.00	
725	0	0	0	0.25	0.00	0.00	
726	0	0	0	0.25	0.00	0.00	
727	0	0	0	0.25	0.00	0.00	
728	0	0	0	0.25	0.00	0.00	
729	0	0	0	0.25	0.00	0.00	
730	0	0	0	0.25	0.00	0.00	
731	0	0	0	0.25	0.00	0.00	
732	0	0	0	0.50	0.00	0.00	
733	0	0	0	0.50	0.00	0.00	
734	0	0	0	0.50	0.00	0.00	
735	0	0	0	0.50	0.00	0.00	
736	0	0	0	0.50	0.00	0.00	
737	0	0	0	0.50	0.00	0.00	
738	0	0	0	0.50	0.00	0.00	
739	0	0	0	0.50	0.00	0.00	
740	0	0	0	0.50	0.00	0.00	
741	0	0	0	0.50	0.00	0.00	
742	0	0	0	0.75	0.00	0.00	
743	0	0	0	0.75	0.00	0.00	
744	0	0	0	0.75	0.00	0.00	
745	0	0	0	0.75	0.00	0.00	
746	0	0	0	0.75	0.00	0.00	
747	0	0	0	0.75	0.00	0.00	
748	0	0	0	0.75	0.00	0.00	
749	0	0	0	0.75	0.00	0.00	
750	0	0	0	0.75	0.00	0.00	
751	0	0	0	0.75	0.00	0.00	
752	0	0	0	1.00	0.00	0.00	
753	0	0	0	1.00	0.00	0.00	
754	0	0	0	1.00	0.00	0.00	
755	0	0	0	1.00	0.00	0.00	
756	0	0	0	1.00	0.00	0.00	
757	0	0	0	1.00	0.00	0.00	
758	0	0	0	1.00	0.00	0.00	
759	0	0	0	1.00	0.00	0.00	
760	0	0	0	1.00	0.00	0.00	
761	0	0	0	1.00	0.00	0.00	
762	0	0	0	0.00	0.25	0.00	
763	1	0	0	0.00	0.25	0.00	
764	1	0	0	0.00	0.25	0.00	
765	1	0	0	0.00	0.25	0.00	
766	1	0	0	0.00	0.25	0.00	
767	1	0	0	0.00	0.25	0.00	
768	1	0	0	0.00	0.25	0.00	
769	1	0	0	0.00	0.25	0.00	
770	1	0	0	0.00	0.25	0.00	
771	1	0	0	0.00	0.25	0.00	
772	1	0	0	0.00	0.50	0.00	
773	1	0	0	0.00	0.50	0.00	
774	1	0	0	0.00	0.50	0.00	
775	1	0	0	0.00	0.50	0.00	
776	1	0	0	0.00	0.50	0.00	
777	1	0	0	0.00	0.50	0.00	
778	1	0	0	0.00	0.50	0.00	
779	1	0	0	0.00	0.50	0.00	
780	1	0	0	0.00	0.50	0.00	
781	1	0	0	0.00	0.50	0.00	
782	1	0	0	0.00	0.75	0.00	
783	1	0	0	0.00	0.75	0.00	
784	1	0	0	0.00	0.75	0.00	
785	1	0	0	0.00	0.75	0.00	
786	1	0	0	0.00	0.75	0.00	
787	1	0	0	0.00	0.75	0.00	
788	1	0	0	0.00	0.75	0.00	
789	1	0	0	0.00	0.75	0.00	
790	1	0	0	0.00	0.75	0.00	
791	1	0	0	0.00	0.75	0.00	
792	1	0	0	0.00	1.00	0.00	
793	1	0	0	0.00	1.00	0.00	
794	1	0	0	0.00	1.00	0.00	
795	1	0	0	0.00	1.00	0.00	
796	1	0	0	0.00	1.00	0.00	
797	1	0	0	0.00	1.00	0.00	
798	1	0	0	0.00	1.00	0.00	
799	1	0	0	0.00	1.00	0.00	
800	1	0	0	0.00	1.00	0.00	
801	1	0	0	0.00	1.00	0.00	
802	1	0	0	0.00	0.00	0.25	
803	2	0	0	0.00	0.00	0.25	
804	2	0	0	0.00	0.00	0.25	
805	2	0	0	0.00	0.00	0.25	
806	2	0	0	0.00	0.00	0.25	
807	2	0	0	0.00	0.00	0.25	
808	2	0	0	0.00	0.00	0.25	
809	2	0	0	0.00	0.00	0.25	
810	2	0	0	0.00	0.00	0.25	
811	2	0	0	0.00	0.00	0.25	
812	2	0	0	0.00	0.00	0.50	
813	2	0	0	0.00	0.00	0.50	
814	2	0	0	0.00	0.00	0.50	
815	2	0	0	0.00	0.00	0.50	
816	2	0	0	0.00	0.00	0.50	
817	2	0	0	0.00	0.00	0.50	
818	2	0	0	0.00	0.00	0.50	
819	2	0	0	0.00	0.00	0.50	
820	2	0	0	0.00	0.00	0.50	
821	2	0	0	0.00	0.00	0.50	
822	2	0	0	0.00	0.00	0.75	
823	2	0	0	0.00	0.00	0.75	
824	2	0	0	0.00	0.00	0.75	
825	2	0	0	0.00	0.00	0.75	
826	2	0	0	0.00	0.00	0.75	
827	2	0	0	0.00	0.00	0.75	
828	2	0	0	0.00	0.00	0.75	
829	2	0	0	0.00	0.00	0.75	
830	2	0	0	0.00	0.00	0.75	
831	2	0	0	0.00	0.00	0.75	
832	2	0	0	0.00	0.00	1.00	
833	2	0	0	0.00	0.00	1.00	
834	2	0	0	0.00	0.00	1.00	
835	2	0	0	0.00	0.00	1.00	
836	2	0	0	0.00	0.00	1.00	
837	2	0	0	0.00	0.00	1.00	
838	2	0	0	0.00	0.00	1.00	
839	2	0	0	0.00	0.00	1.00	
840	2	0	0	0.00	0.00	1.00	
841	2	0	0	0.00	0.00	1.00	
842	2	0	0	0.25	0.00	0.00	
843	0	0	0	0.25	0.00	0.00	
844	0	0	0	0.25	0.00	0.00	
845	0	0	0	0.25	0.00	0.00	
846	0	0	0	0.25	0.00	0.00	
847	0	0	0	0.25	0.00	0.00	
848	0	0	0	0.25	0.00	0.00	
849	0	0	0	0.25	0.00	0.00	
850	0	0	0	0.25	0.00	0.00	
851	0	0	0	0.25	0.00	0.00	
852	0	0	0	0.50	0.00	0.00	
853	0	0	0	0.50	0.00	0.00	
854	0	0	0	0.50	0.00	0.00	
855	0	0	0	0.50	0.00	0.00	
856	0	0	0	0.50	0.00	0.00	
857	0	0	0	0.50	0.00	0.00	
858	0	0	0	0.50	0.00	0.00	
859	0	0	0	0.50	0.00	0.00	
860	0	0	0	0.50	0.00	0.00	
861	0	0	0	0.50	0.00	0.00	
862	0	0	0	0.75	0.00	0.00	
863	0	0	0	0.75	0.00	0.00	
864	0	0	0	0.75	0.00	0.00	
865	0	0	0	0.75	0.00	0.00	
866	0	0	0	0.75	0.00	0.00	
867	0	0	0	0.75	0.00	0.00	
868	0	0	0	0.75	0.00	0.00	
869	0	0	0	0.75	0.00	0.00	
870	0	0	0	0.75	0.00	0.00	
871	0	0	0	0.75	0.00	0.00	
872	0	0	0	1.00	0.00	0.00	
873	0	0	0	1.00	0.00	0.00	
874	0	0	0	1.00	0.00	0.00	
875	0	0	0	1.00	0.00	0.00	
876	0	0	0	1.00	0.00	0.00	
877	0	0	0	1.00	0.00	0.00	
878	0	0	0	1.00	0.00	0.00	
879	0	0	0	1.00	0.00	0.00	
880	0	0	0	1.00	0.00	0.00	
881	0	0	0	1.00	0.00	0.00	
882	0	0	0	0.00	0.25	0.00	
883	1	0	0	0.00	0.25	0.00	
884	1	0	0	0.00	0.25	0.00	
885	1	0	0	0.00	0.25	0.00	
886	1	0	0	0.00	0.25	0.00	
887	1	0	0	0.00	0.25	0.00	
888	1	0	0	0.00	0.25	0.00	
889	1	0	0	0.00	0.25	0.00	
890	1	0	0	0.00	0.25	0.00	
891	1	0	0	0.00	0.25	0.00	
892	1	0	0	0.00	0.50	0.00	
893	1	0	0	0.00	0.50	0.00	
894	1	0	0	0.00	0.50	0.00	
895	1	0	0	0.00	0.50	0.00	
896	1	0	0	0.00	0.50	0.00	
897	1	0	0	0.00	0.50	0.00	
898	1	0	0	0.00	0.50	0.00	
899	1	0	0	0.00	0.50	0.00	
900	1	0	0	0.00	0.50	0.00	
901	1	0	0	0.00	0.50	0.00	
902	1	0	0	0.00	0.75	0.00	
903	1	0	0	0.00	0.75	0.00	
904	1	0	0	0.00	0.75	0.00	
905	1	0	0	0.00	0.75	0.00	
906	1	0	0	0.00	0.75	0.00	
907	1	0	0	0.00	0.75	0.00	
908	1	0	0	0.00	0.75	0.00	
909	1	0	0	0.00	0.75	0.00	
910	1	0	0	0.00	0.75	0.00	
911	1	0	0	0.00	0.75	0.00	
912	1	0	0	0.00	1.00	0.00	
913	1	0	0	0.00	1.00	0.00	
914	1	0	0	0.00	1.00	0.00	
915	1	0	0	0.00	1.00	0.00	
916	1	0	0	0.00	1.00	0.00	
917	1	0	0	0.00	1.00	0.00	
918	1	0	0	0.00	1.00	0.00	
919	1	0	0	0.00	1.00	0.00	
920	1	0	0	0.00	1.00	0.00	
921	1	0	0	0.00	1.00	0.00	
922	1	0	0	0.00	0.00	0.25	
923	2	0	0	0.00	0.00	0.25	
924	2	0	0	0.00	0.00	0.25	
925	2	0	0	0.00	0.00	0.25	
926	2	0	0	0.00	0.00	0.25	
927	2	0	0	0.00	0.00	0.25	
928	2	0	0	0.00	0.00	0.25	
929	2	0	0	0.00	0.00	0.25	
930	2	0	0	0.00	0.00	0.25	
931	2	0	0	0.00	0.00	0.25	
932	2	0	0	0.00	0.00	0.50	
933	2	0	0	0.00	0.00	0.50	
934	2	0	0	0.00	0.00	0.50	
935	2	0	0	0.00	0.00	0.50	
936	2	0	0	0.00	0.00	0.50	
937	2	0	0	0.00	0.00	0.50	
938	2	0	0	0.00	0.00	0.50	
939	2	0	0	0.00	0.00	0.50	
940	2	0	0	0.00	0.00	0.50	
941	2	0	0	0.00	0.00	0.50	
942	2	0	0	0.00	0.00	0.75	
943	2	0	0	0.00	0.00	0.75	
944	2	0	0	0.00	0.00	0.75	
945	2	0	0	0.00	0.00	0.75	
946	2	0	0	0.00	0.00	0.75	
947	2	0	0	0.00	0.00	0.75	
948	2	0	0	0.00	0.00	0.75	
949	2	0	0	0.00	0.00	0.75	
950	2	0	0	0.00	0.00	0.75	
951	2	0	0	0.00	0.00	0.75	
952	2	0	0	0.00	0.00	1.00	
953	2	0	0	0.00	0.00	1.00	
954	2	0	0	0.00	0.00	1.00	
955	2	0	0	0.00	0.00	1.00	
956	2	0	0	0.00	0.00	1.00	
957	2	0	0	0.00	0.00	1.00	
958	2	0	0	0.00	0.00	1.00	
959	2	0	0	0.00	0.00	1.00	
960	2	0	0	0.00	0.00	1.00	
961	2	0	0	0.00	0.00	1.00	
962	2	0	0	0.25	0.00	0.00	
963	0	0	0	0.25	0.00	0.00	
964	0	0	0	0.25	0.00	0.00	
965	0	0	0	0.25	0.00	0.00	
966	0	0	0	0.25	0.00	0.00	
967	0	0	0	0.25	0.00	0.00	
968	0	0	0	0.25	0.00	0.00	
969	0	0	0	0.25	0.00	0.00	
970	0	0	0	0.25	0.00	0.00	
971	0	0	0	0.25	0.00	0.00	
972	0	0	0	0.50	0.00	0.00	
973	0	0	0	0.50	0.00	0.00	
974	0	0	0	0.50	0.00	0.00	
975	0	0	0	0.50	0.00	0.00	
976	0	0	0	0.50	0.00	0.00	
977	0	0	0	0.50	0.00	0.00	
978	0	0	0	0.50	0.00	0.00	
979	0	0	0	0.50	0.00	0.00	
980	0	0	0	0.50	0.00	0.00	
981	0	0	0	0.50	0.00	0.00	
982	0	0	0	0.75	0.00	0.00	
983	0	0	0	0.75	0.00	0.00	
984	0	0	0	0.75	0.00	0.00	
985	0	0	0	0.75	0.00	0.00	
986	0	0	0	0.75	0.00	0.00	
987	0	0	0	0.75	0.00	0.00	
988	0	0	0	0.75	0.00	0.00	
989	0	0	0	0.75	0.00	0.00	
990	0	0	0	0.75	0.00	0.00	
991	0	0	0	0.75	0.00	0.00	
992	0	0	0	1.00	0.00	0.00	
993	0	0	0	1.00	0.00	0.00	
994	0	0	0	1.00	0.00	0.00	
995	0	0	0	1.00	0.00	0.00	
996	0	0	0	1.00	0.00	0.00	
997	0	0	0	1.00	0.00	0.00	
998	0	0	0	1.00	0.00	0.00	
999	0	0	0	1.00	0.00	0.00	
1000	0	0	0	1.00	0.00	0.00	
1001	0	0	0	1.00	0.00	0.00	
1002	0	0	0	0.00	0.25	0.00	
1003	1	0	0	0.00	0.25	0.00	
1004	1	0	0	0.00	0.25	0.00	
1005	1	0	0	0.00	0.25	0.00	
1006	1	0	0	0.00	0.25	0.00	
1007	1	0	0	0.00	0.25	0.00	
1008	1	0	0	0.00	0.25	0.00	
1009	1	0	0	0.00	0.25	0.00	
1010	1	0	0	0.00	0.25	0.00	
1011	1	0	0	0.00	0.25	0.00	
1012	1	0	0	0.00	0.50	0.00	
1013	1	0	0	0.00	0.50	0.00	
1014	1	0	0	0.00	0.50	0.00	
1015	1	0	0	0.00	0.50	0.00	
1016	1	0	0	0.00	0.50	0.00	
1017	1	0	0	0.00	0.50	0.00	
1018	1	0	0	0.00	0.50	0.00	
1019	1	0	0	0.00	0.50	0.00	
1020	1	0	0	0.00	0.50	0.00	
1021	1	0	0	0.00	0.50	0.00	
1022	1	0	0	0.00	0.75	0.00	
1023	1	0	0	0.00	0.75	0.00	
1024	1	0	0	0.00	0.75	0.00	
1025	1	0	0	0.00	0.75	0.00	
1026	1	0	0	0.00	0.75	0.00	
1027	1	0	0	0.00	0.75	0.00	
1028	1	0	0	0.00	0.75	0.00	
1029	1	0	0	0.00	0.75	0.00	
1030	1	0	0	0.00	0.75	0.00	
1031	1	0	0	0.00	0.75	0.00	
1032	1	0	0	0.00	1.00	0.00	
1033	1	0	0	0.00	1.00	0.00	
1034	1	0	0	0.00	1.00	0.00	
1035	1	0	0	0.00	1.00	0.00	
1036	1	0	0	0.00	1.00	0.00	
1037	1	0	0	0.00	1.00	0.00	
1038	1	0	0	0.00	1.00	0.00	
1039	1	0	0	0.00	1.00	0.00	
1040	1	0	0	0.00	1.00	0.00	
1041	1	0	0	0.00	1.00	0.00	
1042	1	0	0	0.00	0.00	0.25	
1043	2	0	0	0.00	0.00	0.25	
1044	2	0	0	0.00	0.00	0.25	
1045	2	0	0	0.00	0.00	0.25	
1046	2	0	0	0.00	0.00	0.25	
1047	2	0	0	0.00	0.00	0.25	
1048	2	0	0	0.00	0.00	0.25	
1049	2	0	0	0.00	0.00	0.25	
1050	2	0	0	0.00	0.00	0.25	
1051	2	0	0	0.00	0.00	0.25	
1052	2	0	0	0.00	0.00	0.50	
1053	2	0	0	0.00	0.00	0.50	
1054	2	0	0	0.00	0.00	0.50	
1055	2	0	0	0.00	0.00	0.50	
1056	2	0	0	0.00	0.00	0.50	
1057	2	0	0	0.00	0.00	0.50	
1058	2	0	0	0.00	0.00	0.50	
1059	2	0	0	0.00	0.00	0.50	
1060	2	0	0	0.00	0.00	0.50	
1061	2	0	0	0.00	0.00	0.50	
1062	2	0	0	0.00	0.00	0.75	
1063	2	0	0	0.00	0.00	0.75	
1064	2	0	0	0.00	0.00	0.75	
1065	2	0	0	0.00	0.00	0.75	
1066	2	0	0	0.00	0.00	0.75	
1067	2	0	0	0.00	0.00	0.75	
1068	2	0	0	0.00	0.00	0.75	
1069	2	0	0	0.00	0.00	0.75	
1070	2	0	0	0.00	0.00	0.75	
1071	2	0	0	0.00	0.00	0.75	
1072	2	0	0	0.00	0.00	1.00	
1073	2	0	0	0.00	0.00	1.00	
1074	2	0	0	0.00	0.00	1.00	
1075	2	0	0	0.00	0.00	1.00	
1076	2	0	0	0.00	0.00	1.00	
1077	2	0	0	0.00	0.00	1.00	
1078	2	0	0	0.00	0.00	1.00	
1079	2	0	0	0.00	0.00	1.00	
1080	2	0	0	0.00	0.00	1.00	
1081	2	0	0	0.00	0.00	1.00	
1082	2	0	0	0.25	0.00	0.00	
1083	0	0	0	0.25	0.00	0.00	
1084	0	0	0	0.25	0.00	0.00	
1085	0	0	0	0.25	0.00	0.00	
1086	0	0	0	0.25	0.00	0.00	
1087	0	0	0	0.25	0.00	0.00	
1088	0	0	0	0.25	0.00	0.00	
1089	0	0	0	0.25	0.00	0.00	
1090	0	0	0	0.25	0.00	0.00	
1091	0	0	0	0.25	0.00	0.00	
1092	0	0	0	0.50	0.00	0.00	
1093	0	0	0	0.50	0.00	0.00	
1094	0	0	0	0.50	0.00	0.00	
1095	0	0	0	0.50	0.00	0.00	
1096	0	0	0	0.50	0.00	0.00	
1097	0	0	0	0.50	0.00	0.00	
1098	0	0	0	0.50	0.00	0.00	
1099	0	0	0	0.50	0.00	0.00	
1100	0	0	0	0.50	0.00	0.00	
1101	0	0	0	0.50	0.00	0.00	
1102	0	0	0	0.75	0.00	0.00	
1103	0	0	0	0.75	0.00	0.00	
1104	0	0	0	0.75	0.00	0.00	
1105	0	0	0	0.75	0.00	0.00	
1106	0	0	0	0.75	0.00	0.00	
1107	0	0	0	0.75	0.00	0.00	
1108	0	0	0	0.75	0.00	0.00	
1109	0	0	0	0.75	0.00	0.00	
1110	0	0	0	0.75	0.00	0.00	
1111	0	0	0	0.75	0.00	0.00	
1112	0	0	0	1.00	0.00	0.00	
1113	0	0	0	1.00	0.00	0.00	
1114	0	0	0	1.00	0.00	0.00	
1115	0	0	0	1.00	0.00	0.00	
1116	0	0	0	1.00	0.00	0.00	
1117	0	0	0	1.00	0.00	0.00	
1118	0	0	0	1.00	0.00	0.00	
1119	0	0	0	1.00	0.00	0.00	
1120	0	0	0	1.00	0.00	0.00	
1121	0	0	0	1.00	0.00	0.00	
1122	0	0	0	0.00	0.25	0.00	
1123	1	0	0	0.00	0.25	0.00	
1124	1	0	0	0.00	0.25	0.00	
1125	1	0	0	0.00	0.25	0.00	
1126	1	0	0	0.00	0.25	0.00	
1127	1	0	0	0.00	0.25	0.00	
1128	1	0	0	0.00	0.25	0.00	
1129	1	0	0	0.00	0.25	0.00	
1130	1	0	0	0.00	0.25	0.00	
1131	1	0	0	0.00	0.25	0.00	
1132	1	0	0	0.00	0.50	0.00	
1133	1	0	0	0.00	0.50	0.00	
1134	1	0	0	0.00	0.50	0.00	
1135	1	0	0	0.00	0.50	0.00	
1136	1	0	0	0.00	0.50	0.00	
1137	1	0	0	0.00	0.50	0.00	
1138	1	0	0	0.00	0.50	0.00	
1139	1	0	0	0.00	0.50	0.00	
1140	1	0	0	0.00	0.50	0.00	
1141	1	0	0	0.00	0.50	0.00	
1142	1	0	0	0.00	0.75	0.00	
1143	1	0	0	0.00	0.75	0.00	
1144	1	0	0	0.00	0.75	0.00	
1145	1	0	0	0.00	0.75	0.00	
1146	1	0	0	0.00	0.75	0.00	
1147	1	0	0	0.00	0.75	0.00	
1148	1	0	0	0.00	0.75	0.00	
1149	1	0	0	0.00	0.75	0.00	
1150	1	0	0	0.00	0.75	0.00	
1151	1	0	0	0.00	0.75	0.00	
1152	1	0	0	0.00	1.00	0.00	
1153	1	0	0	0.00	1.00	0.00	
1154	1	0	0	0.00	1.00	0.00	
1155	1	0	0	0.00	1.00	0.00	
1156	1	0	0	0.00	1.00	0.00	
1157	1	0	0	0.00	1.00	0.00	
1158	1	0	0	0.00	1.00	0.00	
1159	1	0	0	0.00	1.00	0.00	
1160	1	0	0	0.00	1.00	0.00	
1161	1	0	0	0.00	1.00	0.00	
1162	1	0	0	0.00	0.00	0.25	
1163	2	0	0	0.00	0.00	0.25	
1164	2	0	0	0.00	0.00	0.25	
1165	2	0	0	0.00	0.00	0.25	
1166	2	0	0	0.00	0.00	0.25	
1167	2	0	0	0.00	0.00	0.25	
1168	2	0	0	0.00	0.00	0.25	
1169	2	0	0	0.00	0.00	0.25	
1170	2	0	0	0.00	0.00	0.25	
1171	2	0	0	0.00	0.00	0.25	
1172	2	0	0	0.00	0.00	0.50	
1173	2	0	0	0.00	0.00	0.50	
1174	2	0	0	0.00	0.00	0.50	
1175	2	0	0	0.00	0.00	0.50	
1176	2	0	0	0.00	0.00	0.50	
1177	2	0	0	0.00	0.00	0.50	
1178	2	0	0	0.00	0.00	0.50	
1179	2	0	0	0.00	0.00	0.50	
1180	2	0	0	0.00	0.00	0.50	
1181	2	0	0	0.00	0.00	0.50	
1182	2	0	0	0.00	0.00	0.75	
1183	2	0	0	0.00	0.00	0.75	
1184	2	0	0	0.00	0.00	0.75	
1185	2	0	0	0.00	0.00	0.75	
1186	2	0	0	0.00	0.00	0.75	
1187	2	0	0	0.00	0.00	0.75	
1188	2	0	0	0.00	0.00	0.75	
1189	2	0	0	0.00	0.00	0.75	
1190	2	0	0	0.00	0.00	0.75	
1191	2	0	0	0.00	0.00	0.75	
1192	2	0	0	0.00	0.00	1.00	
1193	2	0	0	0.00	0.00	1.00	
1194	2	0	0	0.00	0.00	1.00	
1195	2	0	0	0.00	0.00	1.00	
1196	2	0	0	0.00	0.00	1.00	
1197	2	0	0	0.00	0.00	1.00	
1198	2	0	0	0.00	0.00	1.00	
1199	2	0	0	0.00	0.00	1.00	
1200	2	0	0	0.00	0.00	1.00	
1201	2	0	0	0.00	0.00	1.00	
1202	2	0	0	0.25	0.00	0.00	
1203	0	0	0	0.25	0.00	0.00	
1204	0	0	0	0.25	0.00	0.00	
1205	0	0	0	0.25	0.00	0.00	
1206	0	0	0	0.25	0.00	0.00	
1207	0	0	0	0.25	0.00	0.00	
1208	0	0	0	0.25	0.00	0.00	
1209	0	0	0	0.25	0.00	0.00	
1210	0	0	0	0.25	0.00	0.00	
1211	0	0	0	0.25	0.00	0.00	
1212	0	0	0	0.50	0.00	0.00	
1213	0	0	0	0.50	0.00	0.00	
1214	0	0	0	0.50	0.00	0.00	
1215	0	0	0	0.50	0.00	0.00	
1216	0	0	0	0.50	0.00	0.00	
1217	0	0	0	0.50	0.00	0.00	
1218	0	0	0	0.50	0.00	0.00	
1219	0	0	0	0.50	0.00	0.00	
1220	0	0	0	0.50	0.00	0.00	
1221	0	0	0	0.50	0.00	0.00	
1222	0	0	0	0.75	0.00	0.00	
1223	0	0	0	0.75	0.00	0.00	
1224	0	0	0	0.75	0.00	0.00	
1225	0	0	0	0.75	0.00	0.00	
1226	0	0	0	0.75	0.00	0.00	
1227	0	0	0	0.75	0.00	0.00	
1228	0	0	0	0.75	0.00	0.00	
1229	0	0	0	0.75	0.00	0.00	
1230	0	0	0	0.75	0.00	0.00	
1231	0	0	0	0.75	0.00	0.00	
1232	0	0	0	1.00	0.00	0.00	
1233	0	0	0	1.00	0.00	0.00	
1234	0	0	0	1.00	0.00	0.00	
1235	0	0	0	1.00	0.00	0.00	
1236	0	0	0	1.00	0.00	0.00	
1237	0	0	0	1.00	0.00	0.00	
1238	0	0	0	1.00	0.00	0.00	
1239	0	0	0	1.00	0.00	0.00	
1240	0	0	0	1.00	0.00	0.00	
1241	0	0	0	1.00	0.00	0.00	
1242	0	0	0	0.00	0.25	0.00	
1243	1	0	0	0.00	0.25	0.00	
1244	1	0	0	0.00	0.25	0.00	
1245	1	0	0	0.00	0.25	0.00	
1246	1	0	0	0.00	0.25	0.00	
1247	1	0	0	0.00	0.25	0.00	
1248	1	0	0	0.00	0.25	0.00	
1249	1	0	0	0.00	0.25	0.00	
1250	1	0	0	0.00	0.25	0.00	
1251	1	0	0	0.00	0.25	0.00	
1252	1	0	0	0.00	0.50	0.00	
1253	1	0	0	0.00	0.50	0.00	
1254	1	0	0	0.00	0.50	0.00	
1255	1	0	0	0.00	0.50	0.00	
1256	1	0	0	0.00	0.50	0.00	
1257	1	0	0	0.00	0.50	0.00	
1258	1	0	0	0.00	0.50	0.00	
1259	1	0	0	0.00	0.50	0.00	
1260	1	0	0	0.00	0.50	0.00	
1261	1	0	0	0.00	0.50	0.00	
1262	1	0	0	0.00	0.75	0.00	
1263	1	0	0	0.00	0.75	0.00	
1264	1	0	0	0.00	0.75	0.00	
1265	1	0	0	0.00	0.75	0.00	
1266	1	0	0	0.00	0.75	0.00	
1267	1	0	0	0.00	0.75	0.00	
1268	1	0	0	0.00	0.75	0.00	
1269	1	0	0	0.00	0.75	0.00	
1270	1	0	0	0.00	0.75	0.00	
1271	1	0	0	0.00	0.75	0.00	
1272	1	0	0	0.00	1.00	0.00	
1273	1	0	0	0.00	1.00	0.00	
1274	1	0	0	0.00	1.00	0.00	
1275	1	0	0	0.00	1.00	0.00	
1276	1	0	0	0.00	1.00	0.00	
1277	1	0	0	0.00	1.00	0.00	
1278	1	0	0	0.00	1.00	0.00	
1279	1	0	0	0.00	1.00	0.00	
1280	1	0	0	0.00	1.00	0.00	
1281	1	0	0	0.00	1.00	0.00	
1282	1	0	0	0.00	0.00	0.25	
1283	2	0	0	0.00	0.00	0.25	
1284	2	0	0	0.00	0.00	0.25	
1285	2	0	0	0.00	0.00	0.25	
1286	2	0	0	0.00	0.00	0.25	
1287	2	0	0	0.00	0.00	0.25	
1288	2	0	0	0.00	0.00	0.25	
1289	2	0	0	0.00	0.00	0.25	
1290	2	0	0	0.00	0.00	0.25	
1291	2	0	0	0.00	0.00	0.25	
1292	2	0	0	0.00	0.00	0.50	
1293	2	0	0	0.00	0.00	0.50	
1294	2	0	0	0.00	0.00	0.50	
1295	2	0	0	0.00	0.00	0.50	
1296	2	0	0	0.00	0.00	0.50	
1297	2	0	0	0.00	0.00	0.50	
1298	2	0	0	0.00	0.00	0.50	
1299	2	0	0	0.00	0.00	0.50	
1300	2	0	0	0.00	0.00	0.50	
1301	2	0	0	0.00	0.00	0.50	
1302	2	0	0	0.00	0.00	0.75	
1303	2	0	0	0.00	0.00	0.75	
1304	2	0	0	0.00	0.00	0.75	
1305	2	0	0	0.00	0.00	0.75	
1306	2	0	0	0.00	0.00	0.75	
1307	2	0	0	0.00	0.00	0.75	
1308	2	0	0	0.00	0.00	0.75	
1309	2	0	0	0.00	0.00	0.75	
1310	2	0	0	0.00	0.00	0.75	
1311	2	0	0	0.00	0.00	0.75	
1312	2	0	0	0.00	0.00	1.00	
1313	2	0	0	0.00	0.00	1.00	
